Artist,Song,Comment
Thisara Weerasinghe,Ansathu Oba,இதயம் நொறுங்கும் இனிய அர்த்தங்கள்.. பிளவுபட்ட உண்மைக்காதல் என்றும் இனிய வேதனை....
Thisara Weerasinghe,Ansathu Oba,😔@ᴰ........
Thisara Weerasinghe,Ansathu Oba,𝚃𝚎𝚜𝚜𝚊 ꨄ︎
Thisara Weerasinghe,Ansathu Oba,લ00
Thisara Weerasinghe,Ansathu Oba,കമന്റ് ബോക്സ് മൊത്തം ജിലേബി ആണല്ലോ 😁
Thisara Weerasinghe,Ansathu Oba,മലയാളീസ് ആരെങ്കിലും ഉണ്ടോ?
Thisara Weerasinghe,Ansathu Oba,ɪ ᴅᴏɴᴛ ᴋɴᴏᴡ ʙᴜᴛ ɪ ʜᴀᴠᴇɴᴛ ꜰᴇᴇʟ ᴀɴʏᴛʜɪɴɢ
Thisara Weerasinghe,Ansathu Oba,ഇങ്ങനെ ആണോ എന്റെ ലൈഫിലും കടന്ന് പോകുന്നത്
Thisara Weerasinghe,Ansathu Oba,こんなに愛していても会えない私の気持ちを対弁してくれる曲だよ !!!!😢😢
Saman Lenin,Ambaruwo,மிக அருமையாக உள்ளது இந்த பாடல்.. வாழ்த்துக்கள் அண்ணா 💐💐💐❤👍
Saman Lenin,Amude,𝔼𝕜𝕒 𝕞𝕒𝕣𝕦
Saman Lenin,Amude,𝑴𝒂𝒓𝒖...😃👍👍
Saman Lenin,Amude,𝐃𝐮𝐫𝐚 𝐚𝐭𝐡𝐚 𝐪𝐚𝐭𝐚𝐫 𝐫𝐚𝐣𝐣𝐚𝐲𝐞 𝐬𝐢𝐭𝐚 𝐧𝐢𝐫𝐚𝐭𝐡𝐮𝐫𝐮 𝐫𝐚𝐬𝐚 𝐯𝐢𝐝𝐢𝐦𝐢
Methun SK,Kaari Naa Sanda,𝗕𝗘𝗦𝗧 𝗢𝗙 𝗟𝗨𝗖𝗞 𝗕𝗥𝗢𝗧𝗛𝗘𝗥 👍
Methun SK,Kaari Naa Sanda,素晴らしい♥️♥️♥️♥️
Dinesh Gamage,Danena Thuru Maa ,𝓪𝓵𝔀.𝓵𝓿 ❤❤❤❤❤
Dinesh Gamage,Danena Thuru Maa ,2021 𝘑𝘶𝘯𝘦👍
Dinesh Gamage,Danena Thuru Maa ,𝘏𝘌𝘈𝘙𝘛 𝘛𝘖𝘜𝘊𝘏𝘐𝘕𝘎.❤
Dinesh Gamage,Danena Thuru Maa ,𝑊𝑜𝑤𝑤𝑤 𝑤ℎ𝑎𝑡 𝑎 𝑛𝑖𝑐𝑒 𝑠𝑜𝑛𝑔.
