Artist,Song,Comment
Thisara Weerasinghe,Ansathu Oba,Perfect
Thisara Weerasinghe,Ansathu Oba,Very serious acting. Very sensitive
Thisara Weerasinghe,Ansathu Oba,Beautiful song
Thisara Weerasinghe,Ansathu Oba,Beautiful song 💗
Thisara Weerasinghe,Ansathu Oba,Love this song
Thisara Weerasinghe,Ansathu Oba,Hi my love song
Thisara Weerasinghe,Ansathu Oba,This is a nice song which will teach us about the feeling of real love...
Thisara Weerasinghe,Ansathu Oba,nice sons
Thisara Weerasinghe,Ansathu Oba,Just heavenly...
Thisara Weerasinghe,Ansathu Oba,Nice song and superb acting.
Thisara Weerasinghe,Ansathu Oba,It’s nice song 🎧
Thisara Weerasinghe,Ansathu Oba,It is the true
Thisara Weerasinghe,Ansathu Oba,Super
Thisara Weerasinghe,Ansathu Oba,Nice.....
Thisara Weerasinghe,Ansathu Oba,Heart touching song and video
Thisara Weerasinghe,Ansathu Oba,Addicted to this ♥️
Thisara Weerasinghe,Ansathu Oba,Dream Name please
Thisara Weerasinghe,Ansathu Oba,Great acting…perfect blending
Thisara Weerasinghe,Ansathu Oba,Heart hurted song
Thisara Weerasinghe,Ansathu Oba,My all time favorite ❤❤❤❤
Thisara Weerasinghe,Ansathu Oba,Yes
Thisara Weerasinghe,Ansathu Oba,Yes
Thisara Weerasinghe,Ansathu Oba,Still listening this masterpiece 🙂❤
Thisara Weerasinghe,Ansathu Oba,I still love you and love you more..❤️that is the truth...if it is unconventional love..
Thisara Weerasinghe,Ansathu Oba,I am
Thisara Weerasinghe,Ansathu Oba,Perfect ❤
Thisara Weerasinghe,Ansathu Oba,Perfect
Thisara Weerasinghe,Ansathu Oba,Yes
Thisara Weerasinghe,Ansathu Oba,Beautiful song❤❤❤
Thisara Weerasinghe,Ansathu Oba,Man
Thisara Weerasinghe,Ansathu Oba,I still love you and love you more
Thisara Weerasinghe,Ansathu Oba,Such a beautiful song 🎵
Thisara Weerasinghe,Ansathu Oba,❤❤i💕💕s❤❤
Thisara Weerasinghe,Ansathu Oba,❤❤i💕💕s❤❤
Thisara Weerasinghe,Ansathu Oba,"Music ,voice,singing, acting❤️"
