Artist,Song,Comment
Saman Lenin,Amude,https://www.youtube.com/watch?v=1-lZwjTDHVY&amp;t=22s
Saman Lenin,Amude,https://m.youtube.com/watch?v=HWgtVzFtyT0&amp;feature=youtu.be
Methun SK,Kaari Naa Sanda,https://youtube.com/shorts/JCIJzZtkyAA?feature=share
Dinesh Gamage,Danena Thuru Maa ,https://youtube.com/shorts/pLMDJuLrsjc?feature=share
Dinesh Gamage,Danena Thuru Maa ,https://youtu.be/iP6B2NBEAWU
Dinesh Gamage,Danena Thuru Maa ,https://youtu.be/JaDzaQTqC00
Dinesh Gamage,Danena Thuru Maa ,https://youtu.be/PAr9z5qwunk
Abisheka and Mihdu,Dannawada Adare Neethiya,https://youtube.com/shorts/q4yHv757E0U?si=I1UG136vWcvh2ltc
Danith Sri,Ehema dewal na hithe,https://youtu.be/U9Jcx0ZGLf4
Raini Charuka,Kaluwarata Hitha Baya,https://youtu.be/2Ha-UBIbcg4
Sarith and Surith,Salli Salli,https://youtube.com/shorts/EdFNKpCSwoY?feature=share
Sarith and Surith,Salli Salli,https://youtu.be/OeK0WkPgaQk
Sanuka Wick,Perawadanak,https://youtu.be/-MMB8ZbpsEE
Sanuka Wick,Perawadanak,https://www.youtube.com/watch?v=981ChpjsgBo
Sandeep Jayalath,Nuraavi,https://youtu.be/JhfSK1PDcxY
Sandeep Jayalath,Nuraavi,https://youtu.be/JhfSK1PDcxY
BnS,Unmada Prema Geeya,https://youtu.be/yD66peBCxZA
BnS,Unmada Prema Geeya,https://youtu.be/-r2HAKwWrJw
Sanuka Wick,Saragaye,https://youtu.be/Y6UHgvzJbPg
Thisara Weerasinghe,Ansathu Oba,https://youtu.be/EvcWcvMhc3M
Thisara Weerasinghe,Ansathu Oba,https://youtu.be/EvcWcvMhc3M
Thisara Weerasinghe,Ansathu Oba,https://youtu.be/EvcWcvMhc3M
Thisara Weerasinghe,Ansathu Oba,https://youtu.be/EvcWcvMhc3M
Thisara Weerasinghe,Ansathu Oba,https://youtu.be/EvcWcvMhc3M
Thisara Weerasinghe,Ansathu Oba,https://youtu.be/EvcWcvMhc3M
Thisara Weerasinghe,Ansathu Oba,https://youtu.be/EvcWcvMhc3M
Thisara Weerasinghe,Ansathu Oba,https://youtu.be/EvcWcvMhc3M
Thisara Weerasinghe,Ansathu Oba,https://youtu.be/EvcWcvMhc3M
Methun SK,Kaari Naa Sanda,https://youtu.be/ACEVCu7EkCM
Methun SK,Kaari Naa Sanda,https://youtu.be/ACEVCu7EkCM
Danith Sri,Ehema dewal na hithe,https://youtu.be/Kn6wSgGbJ0w
Danith Sri,Ehema dewal na hithe,https://youtu.be/a4NuHZXntKo
Danith Sri,Ehema dewal na hithe,https://youtu.be/Kn6wSgGbJ0w
Danith Sri,Ehema dewal na hithe,https://youtu.be/a4NuHZXntKo
Danith Sri,Ehema dewal na hithe,https://youtu.be/Kn6wSgGbJ0w
Danith Sri,Ehema dewal na hithe,https://youtu.be/a4NuHZXntKo
Danith Sri,Ehema dewal na hithe,https://youtu.be/a4NuHZXntKo
Ridma,Sobana,https://youtu.be/-WqwYvNq7Ks
Ridma,Sobana,https://youtu.be/-WqwYvNq7Ks
Ridma,Sobana,https://youtu.be/-WqwYvNq7Ks
Ridma,Sobana,https://youtu.be/-WqwYvNq7Ks
